name,archetype,region,platforms,languages,pt_br,price_model,photo_diagnosis,photo_quality_check,capture_guidance,multi_image,organ_selection,top_k_confidence,differential_diagnosis,unknown_handling,offline,history,geo_field_link,regional_alerts,risk_forecast,library,ipm_recommendations,human_expert,community,reports_sharing,web_app,ai_publicly_claimed,store_rating_volume,key_strength,key_weakness,source_confidence
Rumo Pragas,photo-diagnosis-agro,Brazil,iOS+Android (web=landing),pt-BR/en/es,yes,free no-ads,yes,partial (server invalid_image only),yes (static pre-capture tips),no (mono-image),no,yes (raw uncalibrated %),no,yes (fail-closed <0.5),partial (library/MIP offline; inference online),yes (50 no pagination),no (coarse GPS only),partial (local climate notif),partial (local climate rules),yes (18 crops/74 pests MIP),yes (MIP curated + AGROFIT),no,no (by design),yes (PDF + WhatsApp),no (landing only),partial (hypothesis lang; Agrio undeclared),n-a (pre-launch/free),free+PT-BR+MIP+AGROFIT structured,no photo-quality gate; mono-image; no explainability,observed (code audit)
Plantix,photo-diagnosis-agro,Germany (HELM BR),Android only (iOS=clone),18 langs incl PT-BR,yes,free (input marketplace),yes,partial,partial,no,no,partial,no,partial,no,yes,partial,yes (district disease push),partial (spray timing),yes (cultivation tips),yes (chem+biological),partial (community experts),yes (Q&A largest),yes,no,yes,Play BR 4.6/110k 10M+,community+regional alerts+treatment,Android-only; crop gaps; input-sale tie,confirmed
Agrio,photo-diagnosis-agro,Israel,iOS+Android,12 langs incl PT,yes,freemium (ads+sub),yes,partial,partial,partial,no,yes,partial,partial,no,yes,yes (field weather),yes (AI regional),yes (degree-day/chill),yes,yes,yes (experts respond),partial (team scouting),yes (voice scouting),yes,yes,iOS BR 4.87/93 ~500-770k,photo+human experts+regional+forecast,aggressive ads; no dissent; hard cancel,confirmed
xarvio Scouting,photo-diagnosis-agro,Germany (BASF),defunct (out of stores 2022),16+ langs incl PT,yes,free (was),yes (historic),partial,partial,partial,no,partial,no,no,no,yes (diary),yes,yes (SCOUTING Radar community),partial,partial,partial,no,yes (Radar network),yes,yes,yes,defunct,Radar community regional alerts (network effect),discontinued; absorbed into paid FIELD MANAGER,confirmed-defunct
Plant.id/Kindwise,api-b2b,Czech Republic,API (no consumer app)+web batch,15+ langs (pt inferred),partial,B2B EUR0.05/credit,yes (engine),no (FAQ: shoot diseased part),partial (FAQ),yes,no (but disease part),yes (top-3 93%/top-1 85%),yes (look-alikes as class),yes (disease_level=general; is_plant),no,n-a,no,no,no,yes (embedded treatment/severity/EPPO),yes (treatment instructions),no,no,n-a,yes (batch tool),yes (288/548 classes accuracy),n-a,gold-standard top-k + benign look-alikes + abiotic,paid API; no offline,confirmed
PlantVillage Nuru,academic/public,Africa/SE-Asia,Android (iOS thin),swahili/twi/hindi/fr/en,no,free (nonprofit),yes,no,partial (6-leaf prompt),yes (6 leaves),no,partial (object detection),no,partial,yes (on-device),partial,partial (research georef),partial (research),no,partial (via CABI),partial (local advice),yes (blend),no,no,no,yes (2x human claim),iOS 5/3 (thin),on-device offline + honest published accuracy,narrow crops; no PT-BR; modest single-leaf acc,confirmed+paper
CABI PlantwisePlus,academic/public,Global dev countries,Android+iOS+web,100+ langs,partial,free (donor),partial (via Plantix),no,no,n-a,no,n-a,no,n-a,yes (country download),no,no,no,no,yes (15k+ curated IPM),yes (curated safe advice),yes (plant clinics),no,no,yes (Knowledge Bank),no (content-first),n-a,curated IPM library moat,photo-diag outsourced; not BR-first,confirmed
Rice Doctor (IRRI),academic/public,Asia (rice),iOS+Android+web,en/tagalog/odia,no,free,no (interactive key),n-a,n-a,n-a,partial (symptom questions),no,yes (key narrows),yes (covers abiotic),yes,no,no,no,no,yes (90+ incl abiotic/nutritional),yes,no,no,no,yes,no,thin (1 review),interactive key incl abiotic disorders,slow Q&A; single crop; no photo,confirmed
Leaf Doctor,academic/public,Global,iOS+Android,en,no,free,no (severity only),no,partial (manual color-mark),no,no,no,no,no,yes (local pixel),no,no,no,no,no,no,no,no,partial,no,no,iOS 1.96/23,rigorous severity quantification,no diagnosis -> frustration,confirmed
Tumaini,academic/public,Global (banana),Android,unclear,no,free,yes (banana),no,no,no,no,partial,no,no,no (server),no,partial (research surveillance),partial (research),no,partial,partial (mgmt steps),partial (HITL research),no,no,no,yes (~90% alleged),~3k downloads,single-crop depth + surveillance path,1 crop; low traction; no PT-BR,confirmed+alleged
IPM Decisions,academic/public forecast,Europe,web,multi EU,no,free,no,n-a,n-a,n-a,n-a,n-a,n-a,n-a,no (web),n-a,yes (farm location),partial,yes (25+ climate DSS),partial (DSS),yes (timing/targeting),no,no,partial,yes,no (validated models),n-a,climate predictive DSS aggregator,web-only EU; no photo; consultant curve,confirmed
Plantum,photo-id-consumer,International,iOS+Android+web,multi,partial,freemium (~US$60/yr),yes (houseplant health),no,no,no,no,partial,no,no,no,yes (diary),no,no,no,yes (species),no (care tips),no,no,yes,yes,yes (33k species),iOS 4.58/118k,retention machine (reminders/diary/sensor),houseplant not agro; aggressive paywall,confirmed
MyPestGuide Reporter,public/gov,Australia,iOS+Android+web,en,no,free,no (human ID),no,partial,yes (4 photos),no,no,no,yes (human),yes (GPS offline),partial,yes (GPS reports),partial (surveillance),no,yes (sibling apps),partial,yes (DPIRD verify),partial (participatory),yes (report),yes,no,iOS 3.89/18,human-verified surveillance + offline capture,latency; needs gov expert team,confirmed
